AÑO COMERCIAL;CUT COMUNA;GLOSA COMUNA;Actividad economica;Glosa actividad economica;COD ACT;GLOSA ACT;NUMERO EMPRESAS;VENTAS (UF);Trabajadores dependientes informados;Trabajadores dependientes informados femenino;Trabajadores dependientes informados masculino;Renta neta informada;Renta neta informada trabajadores femenino;Renta neta informada trabajadores masculino;Trabajadores dependientes informados ponderados;Trabajadores dependientes informados ponderados femenino;Trabajadores dependientes informados ponderados masculino
2020;7301;Curic¢;523991; Comercio al por menor de art¡culos t¡picos (artesan¡as);13;Comercio al por menor de bienes caracter¡sticos del turismo;26;2914,95;3;0;3;122,13;0,00;122,13;2;0;2
2020;13202;Pirque;523991; Comercio al por menor de art¡culos t¡picos (artesan¡as);13;Comercio al por menor de bienes caracter¡sticos del turismo;9;*;0;0;0;*;*;*;0;0;0
2020;12402;Torres del Paine;523991; Comercio al por menor de art¡culos t¡picos (artesan¡as);13;Comercio al por menor de bienes caracter¡sticos del turismo;1;*;7;3;4;*;*;*;2;0;1
2020;14201;La Uni¢n;523991; Comercio al por menor de art¡culos t¡picos (artesan¡as);13;Comercio al por menor de bienes caracter¡sticos del turismo;7;*;2;2;0;*;*;*;2;2;0
2020;10105;Frutillar;523991; Comercio al por menor de art¡culos t¡picos (artesan¡as);13;Comercio al por menor de bienes caracter¡sticos del turismo;39;10247,37;15;12;3;465,89;293,93;171,96;5;4;1
